voltages,I_total,I_electron,I_ion
-40.0,-0.007877639714436556,0.0,0.007877639714436556
-30.0,-0.007039165633932448,0.0,0.007039165633932448
-20.0,-0.005512841559242369,0.000466934667586091,0.00597977622682846
-10.0,0.0031078769810301233,0.007340413806568599,0.0042325368255384755
0.0,0.1198867311034457,0.12168919933638556,0.0018024682329398469
10.0,0.2506987292678434,0.2506987292678434,0.0
20.0,0.3301981220265341,0.3301981220265341,0.0
30.0,0.42272649825173775,0.42272649825173775,0.0
40.0,0.5427437702299917,0.5427437702299917,0.0
50.0,0.4907232316185952,0.4907232316185952,0.0
60.0,0.6532415999529502,0.6532415999529502,0.0
70.0,0.6662856458280922,0.6662856458280922,0.0
80.0,0.7615202348041513,0.7615202348041513,0.0
90.0,0.8015360337359899,0.8015360337359899,0.0
100.0,0.8637889686112538,0.8637889686112538,0.0
