V,I_total,I_electron,I_ion
-40.0,-3.8345029252568344e-05,3.1430351846367553e-06,4.14880644372051e-05
-37.5,-2.5458584995557698e-05,0.0,2.5458584995557698e-05
-35.0,-1.854390758935686e-05,0.0,1.854390758935686e-05
-32.5,-1.6658086478574812e-05,0.0,1.6658086478574812e-05
-30.0,-1.634378296011114e-05,0.0,1.634378296011114e-05
-27.5,-1.3515051293938056e-05,0.0,1.3515051293938056e-05
-25.0,-1.2257837220083352e-05,0.0,1.2257837220083352e-05
-22.5,-1.2572140738547028e-05,0.0,1.2572140738547028e-05
-20.0,-9.743409072373941e-06,0.0,9.743409072373941e-06
-17.5,-1.0372016109301295e-05,0.0,1.0372016109301295e-05
-15.0,-8.800498516982915e-06,9.429105553910267e-07,9.743409072373941e-06
-12.5,-4.714552776955131e-06,2.8287316661730798e-06,7.54328444312821e-06
-10.0,1.5715175923183812e-06,1.0057712590837617e-05,8.486194998519237e-06
-7.5,2.9544530735585445e-05,3.740211869717733e-05,7.857587961591885e-06
-5.0,0.00011283496312845919,0.00011849242646080534,5.657463332346158e-06
-2.5,0.00040639444937354437,0.00040985178807664477,3.4573387031004304e-06
0.0,0.001656693845822147,0.001656693845822147,0.0
2.5,0.0030936895322376985,0.0030936895322376985,0.0
5.0,0.004007055556892907,0.004007055556892907,0.0
7.5,0.004920421581548495,0.004920421581548495,0.0
10.0,0.005462280847379913,0.005462280847379913,0.0
